start_eng,end_eng,start_canto,end_canto,line,color,edge_distance_km
Whampoa,Ho Man Tin,黃埔,何文田,Kwun Tong,#1C934A,0.8509269635532405
Ho Man Tin,Yau Ma Tei,何文田,油麻地,Kwun Tong,#1C934A,1.414759801737943
Yau Ma Tei,Mong Kok,油麻地,旺角,Kwun Tong,#1C934A,0.6338684154123202
Mong Kok,Prince Edward,旺角,太子,Kwun Tong,#1C934A,0.7163487973184491
Prince Edward,Shek Kip Mei,太子,石硤尾,Kwun Tong,#1C934A,0.6634094097736277
Shek Kip Mei,Kowloon Tong,石硤尾,九龍塘,Kwun Tong,#1C934A,0.9888342147076513
Kowloon Tong,Lok Fu,九龍塘,樂富,Kwun Tong,#1C934A,1.1879585552784848
Lok Fu,Wong Tai Sin,樂富,黃大仙,Kwun Tong,#1C934A,0.7593955428951231
Wong Tai Sin,Diamond Hill,黃大仙,鑽石山,Kwun Tong,#1C934A,0.8275725968944962
Diamond Hill,Choi Hung,鑽石山,彩虹,Kwun Tong,#1C934A,0.9419416782532296
Choi Hung,Kowloon Bay,彩虹,九龍灣,Kwun Tong,#1C934A,1.4057393379671008
Kowloon Bay,Ngau Tau Kok,九龍灣,牛頭角,Kwun Tong,#1C934A,1.059476148305641
Ngau Tau Kok,Kwun Tong,牛頭角,觀塘,Kwun Tong,#1C934A,0.8485608052053571
Kwun Tong,Lam Tin,觀塘,藍田,Kwun Tong,#1C934A,0.884335595378447
Lam Tin,Yau Tong,藍田,油塘,Kwun Tong,#1C934A,1.4601917037327963
Yau Tong,Tiu Keng Leng,油塘,調景嶺,Kwun Tong,#1C934A,1.9541013912067329
Tsuen Wan,Tai Wo Hau,荃灣,大窩口,Tsuen Wan,#ED1C24,0.6633384613972997
Tai Wo Hau,Kwai Hing,大窩口,葵興,Tsuen Wan,#ED1C24,1.05649446997856
Kwai Hing,Kwai Fong,葵興,葵芳,Tsuen Wan,#ED1C24,0.8201562022437805
Kwai Fong,Lai King,葵芳,荔景,Tsuen Wan,#ED1C24,0.95570819147146
Lai King,Mei Foo,荔景,美孚,Tsuen Wan,#ED1C24,1.704130659528181
Mei Foo,Lai Chi Kok,美孚,荔枝角,Tsuen Wan,#ED1C24,1.033913738332422
Lai Chi Kok,Cheung Sha Wan,荔枝角,長沙灣,Tsuen Wan,#ED1C24,1.004472144390567
Cheung Sha Wan,Sham Shui Po,長沙灣,深水埗,Tsuen Wan,#ED1C24,0.7668704132033262
Sham Shui Po,Prince Edward,深水埗,太子,Tsuen Wan,#ED1C24,0.8460076941584734
Prince Edward,Mong Kok,太子,旺角,Tsuen Wan,#ED1C24,0.7163487973184491
Mong Kok,Yau Ma Tei,旺角,油麻地,Tsuen Wan,#ED1C24,0.6338684154123202
Yau Ma Tei,Jordan,油麻地,佐敦,Tsuen Wan,#ED1C24,1.0124763008092186
Jordan,Tsim Sha Tsui,佐敦,尖沙咀,Tsuen Wan,#ED1C24,0.787085384394146
Tsim Sha Tsui,Admiralty,尖沙咀,金鐘,Tsuen Wan,#ED1C24,2.181779167101734
Admiralty,Central,金鐘,中環,Tsuen Wan,#ED1C24,0.7643418635172816
Kennedy Town,HKU,堅尼地城,香港大學,Island,#0079C2,0.7030610554538301
HKU,Sai Ying Pun,香港大學,西營盤,Island,#0079C2,0.8098539913163728
Sai Ying Pun,Sheung Wan,西營盤,上環,Island,#0079C2,0.9471508007610281
Sheung Wan,Central,上環,中環,Island,#0079C2,0.783580888833622
Central,Admiralty,中環,金鐘,Island,#0079C2,0.7643418635172816
